0 SPEKTR R
2 40485 029.0032 025.9213 8183629 029.3466 358.1846 01.00470045   554
0 MMS 3
1 40484U 15011C   15127.85995225 -.00000409  00000-0  00000+0 0  9992
2 40484 028.9749 025.7942 8179095 029.6107 037.8572 01.00471208   560
0 MMS 2
1 40483U 15011B   15127.85995987 -.00000409  00000-0  00000+0 0  9996
2 40483 028.9711 025.8158 8174517 029.5930 038.4309 01.00469181   567
0 ISO
1 23715U 95062A   15127.36131804 -.00000456  00000-0 -96130-3 0  9991
2 23715 000.5145 215.6053 8352632 190.8010 357.5801 01.01980117 72258
0 MMS 1
1 40482U 15011A   15127.85997512 -.00000407  00000-0  00000+0 0  9999
2 40482 028.9712 025.8552 8165274 029.5465 039.3540 01.00465685   560
0 EQUATOR S
1 25068U 97075B   15127.31695740 -.00000093  00000-0 -28859-2 0  9998
2 25068 003.9566 184.9428 8239377 145.9346 317.5625 01.07732814 68689
0 ATLAS 5 CENTAUR R/B
1 40486U 15011E   15124.09556280 -.00000525  00000-0  00000+0 0  9990
2 40486 028.6926 024.5077 8308748 030.3643 358.3526 01.09880267   574
0 BREEZE-M R/B
1 39494U 13073C   15127.00340591  .00000000  00000-0  10000-3 0  9995
2 39494 023.7838 210.4146 7732605 272.5019 010.7605 01.09866434  4718
0 ATLAS 5 CENTAUR R/B
1 34714U 09017B   15127.52790307 -.00000109  00000-0 -46841-3 0  9993
2 34714 020.5094 343.8910 8210577 164.0799 109.7663 01.15216853 25501
0 BREEZE-M R/B
1 38099U 12011B   15122.68821056 -.00000231  00000-0  00000+0 0  9997
2 38099 027.5921 261.0089 7809836 005.6402 359.1581 01.11835008 12698
0 FALCON 9 R/B
1 40426U 15010C   15126.09507709  .00000233  00000-0  38694-2 0  9995
2 40426 025.4917 038.5545 8231900 189.3882 127.1478 01.16116723   758
0 BREEZE-M R/B
1 39173U 13026B   15124.10404658 -.00000373  00000-0  00000+0 0  9999
2 39173 028.4750 338.6364 7634513 283.7105 008.4016 01.10512585  7744
0 BREEZE-M R/B
1 40385U 15005B   15127.49929714  .00000000  00000-0  10000-3 0  9996
2 40385 027.4887 319.5782 7677118 196.7720 104.8536 01.11103724  1066
0 EUTE 115 WEST B(SATMEX 7
1 40425U 15010B   15128.00000000 -.00000324  00000-0  00000+0 0  9998
2 40425 009.3701 042.3609 6995814 183.9422 335.6171 01.05150844   736
0 ABS 3A
1 40424U 15010A   15128.00000000 -.00000295  00000-0  00000+0 0  9994
2 40424 007.8813 044.4790 6647093 181.6020 297.0485 01.02211625   739
0 AMSAT OSCAR 40
1 26609U 00072B   15127.38991663 -.00000357  00000-0  00000+0 0  9998
2 26609 009.2186 355.8160 7955869 225.3950 032.6969 01.25585779 66640
0 POLAR
1 23802U 96013A   15126.47367636 -.00000051  00000-0  00000+0 0  9997
2 23802 078.7262 289.8632 7384669 356.1179 000.0960 01.29842715 92131
0 SL-12 R/B(2)
1 26393U 00035D   15127.47040493  .00000023  00000-0  00000+0 0  9992
2 26393 061.0979 063.2383 7433917 254.7584 347.3944 01.45656521 79017
0 GOES 4 AKM
1 11970U 80074C   15128.12725528 -.00000193  00000-0  00000+0 0  9999
2 11970 023.8500 349.6430 1701042 172.8142 006.1363 00.81532783103164
0 GORIZONT 1
1 11158U 78118A   15126.95019718 -.00000280  00000-0  00000+0 0  9996
2 11158 017.9179 283.6393 3365271 160.7948 215.8065 01.00285951 82219
0 CCE 1 (AMPTE)
1 15199U 84088A   15126.62026566 -.00000233  00000-0  00000+0 0  9999
2 15199 004.3292 039.4193 7660850 180.8232 006.5379 01.53315459138257
0 GOES 5 AKM
1 33521U 81049D   15126.11247464 -.00000207  00000-0  00000+0 0  9999
2 33521 023.2288 351.0625 1648071 052.7619 119.8343 00.82269824 25232
0 SL-12 R/B(2)
1 11926U 78118C   15126.59855782 -.00000282  00000-0  00000+0 0  9990
2 11926 017.0303 279.7103 3352250 167.6099 265.9968 01.01604212130312
0 DELTA 1 R/B(2)
1 15206U 84088F   15127.46535516  .00000050  00000-0  27570-2 0  9991
2 15206 028.1267 328.2518 7778081 209.0550 020.6898 01.58284426176377
0 GOES 6 AKM
1 14069U 83041C   15126.56418198 -.00000194  00000-0  00000+0 0  9997
2 14069 021.7572 354.5294 1647586 024.6337 303.7718 00.84340548 64847
0 SL-12 R/B(2)
1 26486U 00051D   15126.71941670  .00000257  00000-0  00000+0 0  9995
2 26486 062.6688 170.2386 6518783 268.5147 286.2230 01.45767571 78058
0 SIRIUS 2
1 26483U 00051A   15126.23889230  .00000129  00000-0  00000+0 0  9990
2 26483 064.3501 116.6195 2680984 270.3425 186.5791 01.00277738 53722
0 SIRIUS 3
1 26626U 00077A   15127.20495961 -.00000096  00000-0  00000+0 0  9993
2 26626 064.4997 356.5129 2664640 270.2966 295.4354 01.00283787 52863
0 SIRIUS 1
1 26390U 00035A   15127.70833333 -.00000044  00000-0  00000+0 0  9992
2 26390 059.8351 236.9057 2687502 270.2703 237.0286 01.02279895 54398
0 CHINASAT 7
1 24282U 96048A   15127.38989492 -.00000122  00000-0  00000+0 0  9998
2 24282 024.1157 291.5584 3002227 094.6284 320.5405 01.06657277 75410
0 DELTA 2 R/B(2)
1 26115U 00017C   15126.64785753  .00000323  00000-0  79661-1 0  9991
2 26115 093.4922 241.2111 7407044 039.3351 355.7890 01.68203620 92802
0 IMAGE
1 26113U 00017A   15125.22661044  .00000241  00000-0  45253-1 0  9997
2 26113 093.4965 241.0428 7411911 037.8047 002.4143 01.68646194 93039
0 CZ-3A DEB
